group,country,number,position,name,name_zh,age,date_of_birth,caps,goals,club,captain,image,image_source,profile
B,Canada,10,MF,Jonathan Osorio,加拿大10号中场,33,1992-06-12,,,Toronto FC,False,https://images.fotmob.com/image_resources/playerimages/432605.png,fotmob,https://www.fotmob.com/players/432605
B,Canada,11,FW,Tajon Buchanan,加拿大11号前锋,27,1999-02-08,,,Villarreal CF,False,https://images.fotmob.com/image_resources/playerimages/1026135.png,fotmob,https://www.fotmob.com/players/1026135
B,Canada,12,GK,Thomas McGill,加拿大12号门将,26,2000-03-25,,,Milton Keynes Dons,False,,,
B,Canada,13,MF,Atiba Hutchinson,加拿大13号中场,43,1983-02-08,,,PSV Eindhoven,False,,,
B,Canada,14,FW,Jacob Shaffelburg,加拿大14号前锋,26,1999-11-26,,,Nashville SC,False,https://images.fotmob.com/image_resources/playerimages/1023943.png,fotmob,https://www.fotmob.com/players/1023943
B,Canada,15,DF,Moïse Bombito,加拿大15号后卫,26,2000-03-30,,,OGC Nice,False,https://images.fotmob.com/image_resources/playerimages/1440009.png,fotmob,https://www.fotmob.com/players/1440009
B,Canada,16,FW,Junior Hoilett,加拿大16号前锋,36,1990-06-05,,,CF Montréal,False,https://images.fotmob.com/image_resources/playerimages/113465.png,fotmob,https://www.fotmob.com/players/113465
B,Canada,17,FW,Tani Oluwaseyi,加拿大17号前锋,26,2000-05-15,,,Minnesota United FC,False,https://images.fotmob.com/image_resources/playerimages/1338740.png,fotmob,https://www.fotmob.com/players/1338740
B,Canada,18,FW,Jacen Russell-Rowe,加拿大18号前锋,23,2002-09-13,,,Columbus Crew,False,https://images.fotmob.com/image_resources/playerimages/1106866.png,fotmob,https://www.fotmob.com/players/1106866
B,Canada,19,FW,Alphonso Davies,阿方索·戴维斯,25,2000-11-02,,,Bayern Munich,False,https://images.fotmob.com/image_resources/playerimages/751202.png,fotmob,https://www.fotmob.com/players/751202
B,Canada,20,FW,Ali Ahmed,加拿大20号前锋,25,2000-10-10,,,Vancouver Whitecaps FC,False,https://images.fotmob.com/image_resources/playerimages/1359536.png,fotmob,https://www.fotmob.com/players/1359536
B,Canada,21,FW,Theo Bair,加拿大21号前锋,26,1999-08-27,,,AJ Auxerre,False,,,
B,Canada,22,DF,Richie Laryea,加拿大22号后卫,31,1995-01-07,,,Toronto FC,False,https://images.fotmob.com/image_resources/playerimages/729506.png,fotmob,https://www.fotmob.com/players/729506
